timestamp,open,high,low,close,volume,quoteVolume,symbol,download_date
2025-07-24 16:00:00+00:00,2.636,2.659,2.5,2.55,8432632,21773249.3524,FILUSDT,2025-10-23 11:31:15.365994+00:00
2025-07-25 16:00:00+00:00,2.55,2.671,2.539,2.663,3177805.4,8379683.5932,FILUSDT,2025-10-23 11:31:15.365994+00:00
2025-07-26 16:00:00+00:00,2.663,2.722,2.644,2.702,3282760.8,8816355.9784,FILUSDT,2025-10-23 11:31:15.365994+00:00
2025-07-27 16:00:00+00:00,2.702,2.81,2.661,2.679,6020262.6,16541317.5532,FILUSDT,2025-10-23 11:31:15.365994+00:00
2025-07-28 16:00:00+00:00,2.679,2.691,2.549,2.57,6362867.2,16646238.643,FILUSDT,2025-10-23 11:31:15.365994+00:00
2025-07-29 16:00:00+00:00,2.57,2.588,2.449,2.507,6102520,15405223.1916,FILUSDT,2025-10-23 11:31:15.365994+00:00
2025-07-30 16:00:00+00:00,2.507,2.549,2.336,2.469,8312915.2,20353487.628,FILUSDT,2025-10-23 11:31:15.365994+00:00
2025-07-31 16:00:00+00:00,2.469,2.512,2.286,2.348,7650956.2,18119298.603,FILUSDT,2025-10-23 11:31:15.365994+00:00
2025-08-01 16:00:00+00:00,2.348,2.365,2.217,2.278,5464426.6,12544349.0392,FILUSDT,2025-10-23 11:31:15.365994+00:00
2025-08-02 16:00:00+00:00,2.278,2.342,2.223,2.33,3462825.8,7897404.2934,FILUSDT,2025-10-23 11:31:15.365994+00:00
2025-08-03 16:00:00+00:00,2.33,2.401,2.324,2.388,2412461,5703772.6498,FILUSDT,2025-10-23 11:31:15.365994+00:00
2025-08-04 16:00:00+00:00,2.388,2.439,2.312,2.324,4088091.8,9741450.1736,FILUSDT,2025-10-23 11:31:15.365994+00:00
2025-08-05 16:00:00+00:00,2.324,2.38,2.279,2.38,3413612,7929148.724,FILUSDT,2025-10-23 11:31:15.365994+00:00
2025-08-06 16:00:00+00:00,2.38,2.456,2.357,2.436,2660938.6,6402070.0796,FILUSDT,2025-10-23 11:31:15.365994+00:00
2025-08-07 16:00:00+00:00,2.436,2.532,2.388,2.487,8689700,21486285.301,FILUSDT,2025-10-23 11:31:15.365994+00:00
2025-08-08 16:00:00+00:00,2.487,2.646,2.485,2.622,3222521.8,8324231.761,FILUSDT,2025-10-23 11:31:15.365994+00:00
2025-08-09 16:00:00+00:00,2.622,2.665,2.537,2.604,4516053.4,11768042.091,FILUSDT,2025-10-23 11:31:15.365994+00:00
2025-08-10 16:00:00+00:00,2.604,2.683,2.481,2.545,7505350.2,19405774.7134,FILUSDT,2025-10-23 11:31:15.365994+00:00
