timestamp,close,high,low,open,volume,symbol,download_date,added_date
2025-10-17,106.6500015258789,108.0,104.5,104.91999816894531,1405100,TWLO,2025-10-22 13:17:05.623162+00:00,2025-10-22 13:17:05.626061+00:00
2025-10-20,109.0199966430664,110.7030029296875,107.16999816894531,107.95999908447266,1369000,TWLO,2025-10-22 13:17:05.623162+00:00,2025-10-22 13:17:05.626061+00:00
2025-10-21,111.11000061035156,111.94000244140625,108.4000015258789,109.08499908447266,1460000,TWLO,2025-10-22 13:17:05.623162+00:00,2025-10-22 13:17:05.626061+00:00
